name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Fukuisaurus,foo-koo-I-sore-us,'Fukui lizard',large ornithopod,4.7m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",Japan,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Kobayashi and Azuma ,(2003) ,tetoriensius,"  Fukuisaurus is only known from a skull, so the rest of the reconstruction is guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuisaurus.jpg
Gallimimus,gal-lee-MEEM-us,'chicken mimic',large theropod,6.0m,200kg,omnivorous,,,,"Late Cretaceous, 74-70 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae","OsmÃÂ³lska, Roniewicz and Barsbold ",(1972) ,bullatus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gallim.jpg
Gargoyleosaurus,gahr-goy-lee-oh-sore-us,'gargoyle lizard',armoured dinosaur,4.0m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria","Carpenter, Miles and Cloward ",(1998) ,parkpinorum,"  Gargoyleosaurus is known from a skull and partial postcranium, which was found partially articulated (the bones were joined as they would have been when the dinosaur was alive).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gargoyleosaurus.jpg
Garudimimus,ga-roo-dee-meem-us,'Garuda mimic',large theropod,4.7m,,omnivorous,,,,"Late Cretaceous, 99-89 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria",Barsbold ,(1981) ,brevipes,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Garudimimus.jpg
Gasosaurus,gas-oh-SORE-us,'gas lizard',small theropod,4.0m,,carnivorous,,,,"Mid Jurassic, 170-160 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda",Dong and Tang ,(1985) ,constructus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gaso.jpg
Gasparinisaura,gas-pah-reen-ee-sore-us,'Gasparini's lizard',small ornithopod,0.8m,,herbivorous,,,,"Late Cretaceous, 86-71 million years ago",Argentina,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Coria and Salgado ,(1996) ,cincosaltensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gasparinisaura.jpg
Gastonia,gas-toh-nee-ah,'[Robert] Gaston',armoured dinosaur,4.6m,,herbivorous,,,,"Early Cretaceous, 142-127 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria",Kirkland ,(1998) ,burgei,  Gastonia is known from a skull and the partial skeletons of several individuals.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gastonia.jpg
Giganotosaurus,gig-an-OH-toe-SORE-us,'giant southern lizard',large theropod,12.5m,8000kg,carnivorous,"long, blade-like and serrated - ideal for slicing",other animals,on 2 legs,"Early Cretaceous, 112-90 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Carcharodontosauridae",Coria and Salgado ,(1995) ,carolinii,"  Giganotosaurus is known from very fragmentary remains.  Taller and longer but slimmer than Tyrannosaurus rex, Giganotosaurus lived millions of years earlier and in South America not North America.  Giganotosaurus had 3 fingers on its hands, not 2 like T.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/giganoto.jpg
Gigantoraptor,ji-GAN-to-rap-tor,'giant thief',large theropod,8.0m,2000kg,omnivorous,"beak, no teeth","plants, possibly meat",on 2 legs,"Late Cretaceous, 96 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Caenagnathidae","Xu, Tan, Wang, Zhao and Tan ",(2007) ,erlianensis, Gigantoraptor Gigantoraptor is the largest known member of the oviraptorosaur dinosaur group. Oviraptorosaur dinosaurs had distinctive parrot-like skulls with beaks. Gigantoraptor Some oviraptorosaurs had a bony crest on their head. But the full skull of ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gigantoraptor.jpg
Gilmoreosaurus,GIL-more-oh-SORE-us,'Gilmore's lizard',large ornithopod,6.0m,,herbivorous,,,,"Late Cretaceous, 76-70 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Brett-Surman ,(1979) ,mongoliensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gilmore.jpg
Giraffatitan,ji-raf-a-tie-tan,'giraffe titan',sauropod,23.0m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",Tanzania,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Brachiosauridae",Janensch ,(1914) ,brancai,"  Considered to be distinct from Brachiosaurus by some scientists, Giraffatitan is known from the fossils of several individuals.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Giraffatitan.jpg
Gobisaurus,goh-bee-sore-us,'Gobi lizard',armoured dinosaur,5.0m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae","Vickaryous, Russell, Currie and Zhao ",(2001) ,domoculus,  Gobisaurus is known from a skull and postcranium. The size of the skull suggests that the dinosaur was up to 5m long.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gobisaurus.jpg
Gorgosaurus,gor-goh-sore-us,'fierce lizard',large theropod,8.6m,,carnivorous,,,,"Late Cretaceous, 80-73 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Albertosaurinae",Lamb ,(1914) ,libratus,  Gorgosaurus is known from at least 12 complete or almost complete skulls and several partial skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gorgosaurus.jpg
Goyocephale,goy-oh-keff-ah-lee,'decorated head',pachycephalosaur,2.0m,,herbivorous,,,,"Late Cretaceous, 81-75 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala","Perle, MaryaÃ ska and OsmÃÂ³lska ",(1982) ,lattimorei,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Goyocephale.jpg
Graciliceratops,gras-i-li-serra-tops,'gracile horned face',ceratopsian,,,herbivorous,,,,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Sereno ,(2000) ,mongoliensis,"  A partial skull and skeleton of Graciliceratops have been found. This was a tiny dinosaur, it may have only been 80cm long.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Graciliceratops.jpg
Gryposaurus,grip-oh-sore-us,'hook-nosed lizard',large ornithopod,10.0m,,herbivorous,,,,"Late Cretaceous, 86-71 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Lambe ,(1914) ,notabilis,"  Gryposaurus is known from several skeletons, including one which is fully articulated (the bones were joined as they would have been when the dinosaur was alive).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gryposaurus.jpg
Guaibasaurus,gwie-bah-sore-us,'[Rio] Guaiba lizard',prosauropod,1.8m,,herbivorous,,,,"Late Triassic, 221-210 million years ago",Brazil,"Dinosauria, Saurischia, Theropoda","Bonaparte, Ferigolo and Ribeiro ",(1999) ,candelariensis,  This early dinosaur is known from a partial skeleton. Scientists are not sure how it relates to later dinosaurs.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Guaibasaurus.jpg
Guanlong,gwan-long,'crowned dragon',small theropod,3.0m,,carnivorous,,,,"Late Jurassic, 159-154 million years ago",China,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea","Xu, Clark, Forster, Norell, Erickson, Eberth, Jia and Zhao ",(2006) ,wucaii,  Guanlong had an air-filled crest on its head. It is the earliest known tyrannosauroid (Tyrannosaurus-like) dinosaur.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Guanlong.jpg
Hadrosaurus,HAD-row-SORE-us,'big lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 78-74 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Leidy ,(1858) ,foulkii," Hadrosaurus Hadrosaurus was a large, two-legged herbivore from the hadrosaur group of dinosaurs. It would have cropped vegetation with its beak. Hadrosaurus It was called Hadrosaurus, which means 'bulky lizard', because it was so large and so heavy. It wa",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hadro.jpg
Hagryphus,ha-grif-us,'Ha (Egyptian god of the western desert) griffin',small theropod,3.0m,,omnivorous,,,,,USA,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria",Zanno and Sampson ,(2005) ,giganteus,"  Hagryphus is known from only a left hand, fragmentary metatarsals and pedal phalanges (part of a foot), so this reconstruction is based on these and Chirostenotes, a very similar dinosaur.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hagryphus.jpg
Haplocantho-saurus,hap-lo-kan-tho-sore-us,'simple-spined lizard',sauropod,21.5m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Camarasauridae",Hatcher ,(1903) ,priscus,"  Haplocanthosaurus is known from partial skeletons that lack skulls,  so the shape of the head in reconstructions is based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Haplocanthosaurus.jpg
Harpymimus,har-pi-miem-us,'harpy mimic',small theropod,2.0m,,omnivorous,,,,"Early Cretaceous, 121-99 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria",Barsbold and Perle ,(1984) ,okladnikovi,"  A skull and partial skeleton of Harpymimus have been found. This dinosaur had small, blunt teeth.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Harpymimus.jpg
Herrerasaurus,herr-ray-rah-SORE-us,'Herrera's lizard',early dinosaur,3.0m,,carnivorous,,,,"Late Triassic, 228 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Herrerasauridae",Reig ,(1963) ,ischigualastensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/herrera.jpg
Hesperosaurus,hes-per-oh-sore-us,'western lizard',armoured dinosaur,6.0m,,herbivorous,,,,"Late Jurassic, 154-142 million years ago",USA,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae","Carpenter, Miles and Cloward ",(2001) ,mjosi,  Hesperosaurus is known from a complete skeleton and a skull.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hesperosaurus.jpg
Heterodonto-saurus,HET-er-oh-DONÃ¢  T-oh-sore-us,'different-teeth lizard',small ornithischian,1.2m,,herbivorous,,,,"Early Jurassic, 205 million years ago","Lesotho,
						
							South Africa","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Heterodontosauridae",Crompton and Charig ,(1962) ,tucki,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hetero.jpg
Heyuannia,Hey-YOU-ARN-ee-ah,'from [the city of] Heyuan',small theropod,2.0m,,omnivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae",Barsbold ,(1981) ,yanshini,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/heyuannia.jpg
Homalocephale,Home-ah-loh-keff-ah-lee,'level head',pachycephalosaur,1.5m,,herbivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala, Homalocephaloidea",MaryaÃ ska and OsmÃÂ³lska ,(1974) ,calathocercos,  Homalocephale is known from a complete skull and a nearly complete postcranium.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Homalocephale.jpg
Huayangosaurus,hoy-YANG-oh-SORE-us,'Huayang lizard',armoured dinosaur,4.5m,,herbivorous,,,,"Mid Jurassic, 170-160 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Huayangosauridae","Dong, Tang and Zhou ",(1982) ,taibaii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/huayango.jpg
Hylaeosaurus,HIGH-lee-oh-sore-us,'woodland lizard',armoured dinosaur,5.0m,,herbivorous,,,,"Early Cretaceous, 150-135 million years ago","England,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Ankylosauria",Mantell ,(1833) ,armatus,  A specimen of Hylaeosaurus was one of the 3 fossils first identified as dinosaurs by Richard Owen in 1841.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hylaeo.jpg
Hypacrosaurus,hi-pak-roh-sore-us,'near-topmost lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 70 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Brown ,(1913) ,altispinus,"  Complete Hypacrosaurus skeletons have been found, from embryos to adults.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hypacrosaurus.jpg
Hypsilophodon,hip-sih-LOH-foh-don,'high-ridge tooth',small ornithopod,2.3m,50kg,herbivorous,"horny beak, broad, chisel-like teeth",plant material,on 2 legs,"Early Cretaceous, 125 million years ago","England,
						
							Spain,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Hypsilophodontidae",Huxley ,(1869) ,foxii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hypsil.jpg
Iguanodon,ig-WHA-noh-don,'iguana tooth',large ornithopod,10.0m,4000kg,herbivorous,chewing cheek teeth and horny beak,plant material,on 2 or 4 legs,"Early Cretaceous, 140-110 million years ago","Belgium,
						
							England,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Boulenger and van Beneden ,(1881) ,bernissartensis,"  Iguanodon could probably walk on all fours or on two legs. It had a large thumb spike on the end of its hand, probably to fend-off predators, and the structure of the muscles inside its head suggest it had a very long tongue.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/iguano.jpg
Indosuchus,in-doh-sook-us,'Indian crocodile',large theropod,7.0m,,carnivorous,,,,"Late Cretaceous, 71-66 million years ago",India,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Huene and Matley ,(1933) ,raptorius,  An almost complete skeleton of Indosuchus has been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Indosuchus.jpg
Irritator,irr-it-ate-or,'irritator',large theropod,6.5m,,carnivorous,,,,"Early Cretaceous, 112-99 million years ago",Brazil,"Dinosauria, Saurischia, Theropoda, Spinosauridae, Spinosaurini","Martill, Cruickshank, Frey, Small and Clarke ",(1996) ,challengeri,"  Irritator was quite like Spinosaurus. It is known only from a skull, so the sail is a guess.  The type species, Irritator challengeri was named after Professor Challenger from Arthur Conan Doyle's novel  'The Lost World', published in 1912.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Irritator.jpg
Isisaurus,iss-ee-sore-us,'ISI (Indian Statistical Institute) lizard',sauropod,,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",India,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Jain and Bandyopadhyay ,(1997) ,colberti,  This dinosaur is the one most similar to modern-day giraffes. Fungus has been found in its poo!,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg
Janenschia,yan-ensh-ee-ah,'named after Janansch',sauropod,20.0m,,herbivorous,,,,"Late Jurassic, 154-151 million years ago",Tanzania,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Wild ,(1991) ,robusta,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Janenschia.jpg
Jaxartosaurus,jak-sahr-toh-sore-us,'Jaxartes [River] lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 94-84 million years ago",Kazakhstan,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Riabinin ,(1939) ,aralensis,  Jaxartosaurus is known only from a skull roof and braincase.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jaxartosaurus.jpg
Jingshanosaurus,jing-shahn-oh-sore-us,'Jingshan lizard',prosauropod,5.0m,,herbivorous,,,,"Early Jurassic, 205-190 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria",Zhang and Yang ,(1995) ,xinwaensis,  A complete skeleton and skull of Jingshanosaurus have been found. It was one of the last prosauropods.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jingshanosaurus.jpg
Jinzhousaurus,jeen-joh-sore-us,'Jinzhou lizard',large ornithopod,,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Wang and Xu ,(2001) ,yangi,  An almost complete skull and some postcranial remains of this dinosaur have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg
Jobaria,joh-bahr-ee-uh,'Jobar (mythical animal)',sauropod,21.0m,,herbivorous,,,,"Early Cretaceous, 132-94 million years ago",Niger,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson ",(1999) ,tiguidensis,  Jobaria is known from a skull and several skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jobaria.jpg
Juravenator,ju-rah-ve-nay-tor,'Jura (Bavarian mountains) hunter',small theropod,0.8m,,carnivorous,,,,"Late Jurassic, 154-151 million years ago",Germany,"Dinosauria, Saurischia, Theropoda, Compsognathidae",GÃÂ¶hlich & Chiappe ,(2006) ,starki,  Juravenator was the second non-avian (not bird-like) theropod (small meat-eating dinosaur) to be found in the region of Solnhofen. The type specimen shows impressions of scaly skin along the tail.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Juravenator.jpg
Kentrosaurus,ken-TROH-sore-us,'spiky lizard',armoured dinosaur,5.0m,,herbivorous,,,,"Late Jurassic, 155-150 million years ago",Tanzania,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae",Hennig ,(1915) ,aethiopicus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/kentro.jpg
Khaan,kahn,'ruler',small theropod,1.8m,,omnivorous,,,,"Late Cretaceous, 81-75 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae","Clark, Norell and Barsbold ",(2001) ,mckennai,"  This dinosaur is known from 3 skeletons with skulls. It is a beaked dinosaur very similar to Oviraptor, Ingenia and Conchoraptor.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Khaan.jpg
Kotasaurus,koht-a-sore-us,'Kota lizard',sauropod,9.0m,,herbivorous,,,,"Early Jurassic, 205-180 million years ago",India,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda",Yadagiri ,(1988) ,yamanpalliensis,"  Kotasaurus is known from a nearly complete skeleton that lacks the skull, so the reconstruction uses guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Kotasaurus.jpg
Kritosaurus,KRIT-oh-SORE-us,'noble lizard',large ornithopod,8.0m,,herbivorous,,,,"Late Cretaceous, 78-74 million years ago","Argentina,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Brown ,(1910) ,navajovius,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/krito.jpg
Lambeosaurus,lam-BEE-oh-SORE-us,'Lambe's lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Parks ,(1923) ,lambei,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lambeo.jpg
Lapparento-saurus,la-pah-rent-oh-sore-us,'Lapparent's lizard',sauropod,,,herbivorous,,,,"Mid Jurassic, 169-164 million years ago",Madagascar,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes",Bonaparte ,(1986) ,madagascariensis,"  Lapparentosaurus is known from partial skeletons lacking skulls, so reconstructions involve guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lapparentosaurus.jpg
Leaellynasaura,LEE-ELL-IN-a-SORE-a,'Leaellyn's lizard',small ornithopod,2.0m,,herbivorous,,,,"Early Cretaceous, 115-110 million years ago",Australia,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Rich and Rich ,(1989) ,amicagraphica,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Leaellynasaura.jpg
Leptoceratops,lep-toh-ker-ah-tops,'slim horned face',ceratopsian,3.0m,,herbivorous,,,,"Late Cretaceous, 67-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Brown ,(1914) ,gracilis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Leptoceratops.jpg
Lesothosaurus,Le-SO-toe-sore-us,'Lesotho lizard',small ornithischian,1.0m,10kg,herbivorous,small grinding teeth,plant material,on 2 legs,"Early Jurassic, 213-200 million years ago",Lesotho,"Dinosauria, Ornithischia",Galton ,(1978) ,diagnosticus,"  This dinosaur was small and agile and had 5 fingers on each 'hand', although these were probably not well adapted for grasping.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lesotho.jpg
Liaoceratops,lyow-serra-tops,'Liaoning horned face',ceratopsian,,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Xu, Makovicky, Wang, Norell and You ",(2002) ,yanzigouensis,  Two almost complete Liaoceratops skulls have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liaoceratops.jpg
Ligabuesaurus,lee-gah-boo-sore-us,'[Dr Giancarlo] Ligabue lizard',sauropod,24.0m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria","Bonaparte, GonzÃÂ¡lez Riga and ApesteguÃÂ­a ",(2006) ,leanzai,"  Ligabuesaurus is known from fragmentary remains, including a maxilla (jawbone) with teeth, 6 cervical and dorsal vertebrae (part of the backbone), and girdle and limb bones.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ligabuesaurus.jpg
Liliensternus,lil-ee-en-shtern-us,'[for] Lilienstern',small theropod,5.0m,,carnivorous,,,,"Late Triassic, 205-202 million years ago","France,
						
							Germany","Dinosauria, Saurischia, Theropoda, Neotheropoda",Huene ,(1934) ,liliensterni,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liliensternus.jpg
Lophorhothon,lof-oh-roh-thon,'crested nose',large ornithopod,4.5m,,herbivorous,,,,"Late Cretaceous, 84-71 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae","Xu, Makovicky, Wang, Norell and You ",(1960) ,atopus,  A disarticulated skull and skeleton belonging to Lophorhothon have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lophorhothon.jpg
Lophostropheus,lof-oh-stro-fee-us,'crested verebra',large theropod,6.2m,,carnivorous,,,,"Early Jurassic, 203-196 million years ago",France,"Dinosauria, Saurischia",Ezcurra and Cuny ,2007 (1993) ,airelensis,"  Our knowledge of Lophostropheus is based on a tooth, vertebrae and part of a pelvis.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lophostropheus.jpg
Lufengosaurus,Loo-FUNG-oh-SORE-us,'Lufeng lizard',prosauropod,6.0m,,herbivorous,,,,"Early Jurassic, 200-195 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria, Plateosauridae",Young ,(1941) ,huenei,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/lufengos.jpg
